file	existing extensions	removed
0805SirajDinBulqini.TarjumnaShucabIman.JK009381-ara1	[]	[]
0805SirajDinBulqini.MuqaddimatIbnSalah.Shamela0029878-ara1	[]	[]
0821Qalqashandi.QalaidJuman.JK010489-ara1	[]	[]
0821Qalqashandi.QalaidJuman.Shamela0000315-ara1	['completed']	[]
0821Qalqashandi.Maathir.JK000401-ara1	[]	[]
0821Qalqashandi.Maathir.Shamela0008460-ara1	[]	[]
0821Qalqashandi.SubhAcsha.Shamela0009429-ara1	[]	[]
0821Qalqashandi.SubhAcsha.JK000958-ara1	[]	[]
0821Qalqashandi.NihayaArab.Shamela0031382-ara1	['completed']	[]
0803IbnMusaJamalDinMalati.MuctasarMinMukhtasar.Shamela0011816-ara1	[]	[]
0803IbnMusaJamalDinMalati.MuctasarMinMukhtasar.JK000232-ara1	[]	[]
0815IbnMuhammadShihabDinIbnHaim.TibyanFiTafsirGharib.Shamela0023598-ara1	[]	[]
0815IbnMuhammadShihabDinIbnHaim.TibyanFiTafsirGharib.JK001123-ara1	[]	[]
0816AbuBakrMaraghi.Mashyakha.Shamela0026731-ara1	['completed']	[]
0816AbuBakrMaraghi.ArbacunaMinMacali.Shamela0009375-ara1	[]	[]
0812CaliKhazraji.CuqudLuluiyya.Shamela0009233-ara1	[]	[]
0817MajdDinFiruzabadi.QamusMuhit.Shamela0007283-ara1	[]	[]
0817MajdDinFiruzabadi.QamusMuhit.JK001437-ara1	[]	[]
0817MajdDinFiruzabadi.QamusMuhit.Shia003957Vols-ara1	[]	[]
0817MajdDinFiruzabadi.TanwirMiqbas.Shamela0012877-ara1	[]	[]
0817MajdDinFiruzabadi.TanwirMiqbas.Shia002666-ara1	[]	[]
0817MajdDinFiruzabadi.TanwirMiqbas.JK000865-ara1	[]	[]
0817MajdDinFiruzabadi.RaddCalaRafida.Shamela0037554-ara1	[]	[]
0817MajdDinFiruzabadi.BasairDhawiTamyiz.Shamela0009856-ara1	[]	[]
0817MajdDinFiruzabadi.RisalaFiBayan.Shamela0011760-ara1	[]	[]
0817MajdDinFiruzabadi.BulghaFiTarajim.Shamela0009984-ara1	[]	[]
0817MajdDinFiruzabadi.BulghaFiTarajim.JK000396-ara1	[]	[]
0816IbnMuhammadSharifJurjani.Risalatan.JK006972-ara1	[]	[]
0816IbnMuhammadSharifJurjani.Risalatan.Shamela0005984-ara1	[]	[]
0816IbnMuhammadSharifJurjani.Risalatan.Shamela0030531-ara1	[]	[]
0816IbnMuhammadSharifJurjani.Tacrifat.Shamela0007312-ara1	[]	[]
0816IbnMuhammadSharifJurjani.Tacrifat.JK000768-ara1	[]	[]
0816IbnMuhammadSharifJurjani.Nahw.Shamela0038149-ara1	[]	[]
0803IbnCarafaWarghami.MukhtasarFiMantiq.Shamela0000708-ara1	[]	[]
0803IbnCarafaWarghami.MukhtasarFiMantiq.JK010708-ara1	[]	[]
0803IbnCarafaWarghami.Tafsir.Shamela0000067-ara1	[]	[]
0803IbnCarafaWarghami.Tafsir.Shamela0096753-ara1	[]	[]
0803IbnCarafaWarghami.Tafsir.JK009258-ara1	[]	[]
0803IbnLahhamCalaDinBacli.Qawacid.Shamela0008526-ara1	[]	[]
0803IbnLahhamCalaDinBacli.Qawacid.JK000879-ara1	[]	[]
0803IbnLahhamCalaDinBacli.IkhtiyaratCilmiyya.JK011090-ara1	[]	[]
0803IbnLahhamCalaDinBacli.MukhtasarFiUsulFiqh.JK000223-ara1	[]	[]
0803IbnLahhamCalaDinBacli.MukhtasarFiUsulFiqh.Shamela0006308-ara1	[]	[]
0809IbnQunfudh.WasilatIslam.Shamela0006587-ara1	[]	[]
0809IbnQunfudh.WasilatIslam.JK001286-ara1	[]	[]
0809IbnQunfudh.Wafayat.Shia003615-ara1	[]	[]
0809IbnQunfudh.Wafayat.Shamela0010921-ara1	['completed']	[]
0809IbnQunfudh.Wafayat.JK001481-ara1	[]	[]
0802IbnMusaAbnasi.ShadhaFayyah.JK000981-ara1	[]	[]
0802IbnMusaAbnasi.ShadhaFayyah.Shamela0007349-ara1	[]	[]
0803BahaDinNajafi.MuntakhabAnwar.Shia004022-ara1	[]	[]
0804IbnMulaqqin.TadhkiraFiFiqhShafici.Shamela0021553-ara1	[]	[]
0804IbnMulaqqin.MustadrakDhahabi.Shamela0096551-ara1	[]	[]
0804IbnMulaqqin.TadhkiratMuhtaj.Shamela0009569-ara1	[]	[]
0804IbnMulaqqin.TadhkiratMuhtaj.JK006802-ara1	[]	[]
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1	[]	[]
0804IbnMulaqqin.MuqnicFiCulumHadith.Shamela0005976-ara1	[]	[]
0804IbnMulaqqin.TuhfaMuhtaj.Shamela0005911-ara1	[]	[]
0804IbnMulaqqin.TuhfaMuhtaj.JK000271-ara1	[]	[]
0804IbnMulaqqin.BadrMunir.JK009137-ara1	[]	[]
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1	[]	[]
0804IbnMulaqqin.GhayatSul.JK001472-ara1	[]	[]
0804IbnMulaqqin.GhayatSul.Shamela0006588-ara1	[]	[]
0804IbnMulaqqin.KhulasatBadrMunir.JK000734-ara1	[]	[]
0804IbnMulaqqin.KhulasatBadrMunir.Shamela0021104-ara1	[]	[]
0804IbnMulaqqin.TadhkiraFiCulumHadith.Shamela0023640-ara1	[]	[]
0804IbnMulaqqin.TabaqatAwliya.Shamela0001347-ara1	['completed']	[]
0804IbnMulaqqin.TabaqatAwliya.JK010755-ara1	[]	[]
0808IbnCimadDinShihabDinAqfahsi.AdabAkl.Shamela0008185-ara1	[]	[]
0808IbnCimadDinShihabDinAqfahsi.AdabAkl.JK010210-ara1	[]	[]
0808IbnKhaldun.Tarikh.JK000420-ara1	[]	[]
0808IbnKhaldun.Tarikh.Shamela0012320-ara1	['completed']	[]
0808IbnKhaldun.Tarikh.Shia003607Vols-ara1	[]	[]
0808IbnKhaldun.Tarikh.Zaydiyya0000152-ara1	[]	[]
0808IbnKhaldun.Tarikh.JK005600-ara1	[]	[]
0808IbnKhaldun.Rihla.Shamela0037022-ara1	['completed']	[]
0803BarciYamaniShacir.Diwan.JK007602-ara1	[]	[]
0807NurDinHaythami.MawaridZaman.Shia002231Vols-ara1	[]	[]
0807NurDinHaythami.MawaridZaman.Shamela0000901-ara1	[]	[]
0807NurDinHaythami.MawaridZaman.JK000707-ara1	[]	[]
0807NurDinHaythami.MawaridZaman.Shamela0098126-ara1	[]	[]
0807NurDinHaythami.MajmacZawaid.Shia001782Vols-ara1	[]	[]
0807NurDinHaythami.MajmacZawaid.Shamela0000061-ara1	[]	[]
0807NurDinHaythami.MajmacZawaid.Shamela0096615-ara1	[]	[]
0807NurDinHaythami.MajmacZawaid.JK000637-ara1	[]	[]
